Lambda/m,Lambda/nm,E/eV,Solar per nm/W*m^-2*nm^-1,Solar per E/W*m^-2*eV^-1
3.74E-07,373.5,3.320,5.5786E-01,6.2786E+01
3.73E-07,373.0,3.324,6.1886E-01,6.9465E+01
3.73E-07,372.5,3.329,6.4253E-01,7.1928E+01
3.72E-07,372.0,3.333,6.7444E-01,7.5298E+01
3.72E-07,371.5,3.338,7.2051E-01,8.0225E+01
3.71E-07,371.0,3.342,6.9338E-01,7.6997E+01
3.71E-07,370.5,3.347,6.8261E-01,7.5597E+01
3.70E-07,370.0,3.351,7.5507E-01,8.3396E+01
3.70E-07,369.5,3.356,7.4469E-01,8.2027E+01
3.69E-07,369.0,3.360,6.9315E-01,7.6144E+01
3.69E-07,368.5,3.365,6.6310E-01,7.2645E+01
3.68E-07,368.0,3.370,6.6759E-01,7.2939E+01
3.68E-07,367.5,3.374,7.0914E-01,7.7268E+01
3.67E-07,367.0,3.379,7.2285E-01,7.8548E+01
3.67E-07,366.5,3.383,7.3658E-01,7.9822E+01
3.66E-07,366.0,3.388,7.3532E-01,7.9468E+01
3.66E-07,365.5,3.393,6.8628E-01,7.3966E+01
3.65E-07,365.0,3.397,6.2359E-01,6.7025E+01
3.65E-07,364.5,3.402,6.0058E-01,6.4375E+01
3.64E-07,364.0,3.407,6.0628E-01,6.4808E+01
3.64E-07,363.5,3.411,5.8541E-01,6.2405E+01
3.63E-07,363.0,3.416,6.0191E-01,6.3988E+01
3.63E-07,362.5,3.421,5.8510E-01,6.2030E+01
3.62E-07,362.0,3.425,5.3420E-01,5.6477E+01
3.62E-07,361.5,3.430,5.0956E-01,5.3724E+01
3.61E-07,361.0,3.435,5.2024E-01,5.4698E+01
3.61E-07,360.5,3.440,5.6531E-01,5.9272E+01
3.60E-07,360.0,3.444,5.9817E-01,6.2544E+01
3.60E-07,359.5,3.449,5.6549E-01,5.8963E+01
3.59E-07,359.0,3.454,4.6953E-01,4.8821E+01
3.59E-07,358.5,3.459,3.9926E-01,4.1399E+01
3.58E-07,358.0,3.464,4.3006E-01,4.4468E+01
3.58E-07,357.5,3.469,4.6215E-01,4.7653E+01
3.57E-07,357.0,3.473,4.5673E-01,4.6962E+01
3.57E-07,356.5,3.478,5.1942E-01,5.3259E+01
3.56E-07,356.0,3.483,5.5387E-01,5.6632E+01
3.56E-07,355.5,3.488,5.9028E-01,6.0185E+01
3.55E-07,355.0,3.493,6.1140E-01,6.2164E+01
3.55E-07,354.5,3.498,6.1156E-01,6.2005E+01
3.54E-07,354.0,3.503,6.0498E-01,6.1165E+01
3.54E-07,353.5,3.508,5.7228E-01,5.7695E+01
3.53E-07,353.0,3.513,5.2040E-01,5.2317E+01
3.53E-07,352.5,3.518,4.8962E-01,4.9083E+01
3.52E-07,352.0,3.523,5.1791E-01,5.1772E+01
3.52E-07,351.5,3.528,5.3022E-01,5.2852E+01
3.51E-07,351.0,3.533,5.5172E-01,5.4839E+01
3.51E-07,350.5,3.538,5.6741E-01,5.6238E+01
3.50E-07,350.0,3.543,5.2798E-01,5.2180E+01
3.50E-07,349.5,3.548,4.7805E-01,4.7111E+01
3.49E-07,349.0,3.553,4.6564E-01,4.5757E+01
3.49E-07,348.5,3.558,4.8336E-01,4.7362E+01
3.48E-07,348.0,3.563,4.7511E-01,4.6420E+01
3.48E-07,347.5,3.568,4.7674E-01,4.6446E+01
3.47E-07,347.0,3.573,4.9404E-01,4.7993E+01
3.47E-07,346.5,3.579,4.8657E-01,4.7131E+01
3.46E-07,346.0,3.584,4.7778E-01,4.6146E+01
3.46E-07,345.5,3.589,4.8932E-01,4.7124E+01
3.45E-07,345.0,3.594,4.5898E-01,4.4074E+01
3.45E-07,344.5,3.599,4.0307E-01,3.8593E+01
3.44E-07,344.0,3.605,4.1843E-01,3.9948E+01
3.44E-07,343.5,3.610,4.8609E-01,4.6273E+01
3.43E-07,343.0,3.615,5.1489E-01,4.8872E+01
3.43E-07,342.5,3.620,5.0767E-01,4.8046E+01
3.42E-07,342.0,3.626,4.8934E-01,4.6176E+01
3.42E-07,341.5,3.631,4.6935E-01,4.4160E+01
3.41E-07,341.0,3.636,4.7139E-01,4.4222E+01
3.41E-07,340.5,3.642,5.0071E-01,4.6835E+01
3.40E-07,340.0,3.647,5.0180E-01,4.6800E+01
3.40E-07,339.5,3.652,4.7446E-01,4.4120E+01
3.39E-07,339.0,3.658,4.6355E-01,4.2978E+01
3.39E-07,338.5,3.663,4.5527E-01,4.2086E+01
3.38E-07,338.0,3.669,4.3411E-01,4.0012E+01
3.38E-07,337.5,3.674,4.0051E-01,3.6806E+01
3.37E-07,337.0,3.680,3.7380E-01,3.4249E+01
3.37E-07,336.5,3.685,3.8214E-01,3.4910E+01
3.36E-07,336.0,3.690,4.1519E-01,3.7816E+01
3.36E-07,335.5,3.696,4.5313E-01,4.1149E+01
3.35E-07,335.0,3.701,4.6388E-01,4.2000E+01
3.35E-07,334.5,3.707,4.4509E-01,4.0178E+01
3.34E-07,334.0,3.713,4.1497E-01,3.7348E+01
3.34E-07,333.5,3.718,4.0724E-01,3.6542E+01
3.33E-07,333.0,3.724,4.2944E-01,3.8419E+01
3.33E-07,332.5,3.729,4.3919E-01,3.9173E+01
3.32E-07,332.0,3.735,4.3623E-01,3.8792E+01
3.32E-07,331.5,3.741,4.1806E-01,3.7065E+01
3.31E-07,331.0,3.746,4.0262E-01,3.5588E+01
3.31E-07,330.5,3.752,4.2800E-01,3.7717E+01
3.30E-07,330.0,3.758,4.7139E-01,4.1415E+01
3.30E-07,329.5,3.763,4.6878E-01,4.1061E+01
3.29E-07,329.0,3.769,4.2235E-01,3.6882E+01
3.29E-07,328.5,3.775,3.7164E-01,3.2355E+01
3.28E-07,328.0,3.780,3.5116E-01,3.0479E+01
3.28E-07,327.5,3.786,3.8465E-01,3.3284E+01
3.27E-07,327.0,3.792,3.9806E-01,3.4340E+01
3.27E-07,326.5,3.798,4.0722E-01,3.5023E+01
3.26E-07,326.0,3.804,3.8120E-01,3.2684E+01
3.26E-07,325.5,3.810,3.2436E-01,2.7726E+01
3.25E-07,325.0,3.815,2.7894E-01,2.3770E+01
3.25E-07,324.5,3.821,2.8321E-01,2.4060E+01
3.24E-07,324.0,3.827,2.7537E-01,2.3322E+01
3.24E-07,323.5,3.833,2.4861E-01,2.0990E+01
3.23E-07,323.0,3.839,2.1226E-01,1.7866E+01
3.23E-07,322.5,3.845,2.1709E-01,1.8216E+01
3.22E-07,322.0,3.851,2.2203E-01,1.8573E+01
3.22E-07,321.5,3.857,2.3843E-01,1.9883E+01
3.21E-07,321.0,3.863,2.5024E-01,2.0803E+01
3.21E-07,320.5,3.869,2.4525E-01,2.0324E+01
3.20E-07,320.0,3.875,2.0527E-01,1.6958E+01
3.20E-07,319.5,3.881,1.9589E-01,1.6133E+01
3.19E-07,319.0,3.887,2.0470E-01,1.6806E+01
3.19E-07,318.5,3.893,1.8591E-01,1.5215E+01
3.18E-07,318.0,3.899,1.7594E-01,1.4354E+01
3.18E-07,317.5,3.906,1.8245E-01,1.4838E+01
3.17E-07,317.0,3.912,1.7158E-01,1.3910E+01
3.17E-07,316.5,3.918,1.5036E-01,1.2152E+01
3.16E-07,316.0,3.924,1.2348E-01,9.9477E+00
3.16E-07,315.5,3.930,1.1838E-01,9.5067E+00
3.15E-07,315.0,3.937,1.3625E-01,1.0907E+01
3.15E-07,314.5,3.943,1.3060E-01,1.0422E+01
3.14E-07,314.0,3.949,1.1969E-01,9.5207E+00
3.14E-07,313.5,3.955,1.0757E-01,8.5294E+00
3.13E-07,313.0,3.962,1.0733E-01,8.4833E+00
3.13E-07,312.5,3.968,9.8984E-02,7.7986E+00
3.12E-07,312.0,3.974,9.3376E-02,7.3333E+00
3.12E-07,311.5,3.981,8.4080E-02,6.5821E+00
3.11E-07,311.0,3.987,8.2922E-02,6.4706E+00
