Es/eV,AM1.5/W m^-2 eV^-1,AM15flux/m^-2eV^-1s^-1,flux_cumm(AM 1.5 or bb @ 5800 K),Flux_above_E, Jsc/mA*cm^-2
1.130,5.37E+02,2.9641E+21,-2.7113E+21,2.7113E+21,39.10
1.120,4.68E+02,2.6089E+21,-2.7391E+21,2.7391E+21,39.50
1.110,9.65E+01,5.4240E+20,-2.7549E+21,2.7549E+21,39.72
1.100,1.45E+02,8.2251E+20,-2.7617E+21,2.7617E+21,39.82
1.090,2.46E+02,1.4099E+21,-2.7729E+21,2.7729E+21,39.98
1.080,2.80E+02,1.6185E+21,-2.7880E+21,2.7880E+21,40.20
1.070,3.62E+02,2.1102E+21,-2.8067E+21,2.8067E+21,40.47
1.060,4.99E+02,2.9385E+21,-2.8319E+21,2.8319E+21,40.83
1.050,5.11E+02,3.0395E+21,-2.8618E+21,2.8618E+21,41.27
1.040,5.36E+02,3.2179E+21,-2.8931E+21,2.8931E+21,41.72
1.030,4.34E+02,2.6273E+21,-2.9223E+21,2.9223E+21,42.14
1.020,5.42E+02,3.3147E+21,-2.9520E+21,2.9520E+21,42.57
1.010,5.56E+02,3.4365E+21,-2.9858E+21,2.9858E+21,43.05
1.000,5.72E+02,3.5676E+21,-3.0208E+21,3.0208E+21,43.56
0.990,5.69E+02,3.5850E+21,-3.0566E+21,3.0566E+21,44.07
0.980,5.07E+02,3.2289E+21,-3.0906E+21,3.0906E+21,44.57
0.970,5.62E+02,3.6186E+21,-3.1249E+21,3.1249E+21,45.06
0.960,5.43E+02,3.5302E+21,-3.1606E+21,3.1606E+21,45.57
0.950,5.28E+02,3.4678E+21,-3.1956E+21,3.1956E+21,46.08
0.940,3.75E+02,2.4897E+21,-3.2254E+21,3.2254E+21,46.51
0.930,2.75E+02,1.8458E+21,-3.2471E+21,3.2471E+21,46.82
0.920,2.10E+01,1.4276E+20,-3.2570E+21,3.2570E+21,46.96
0.910,3.02E-03,2.0686E+16,-3.2577E+21,3.2577E+21,46.98
0.900,1.36E+00,9.4538E+18,-3.2578E+21,3.2578E+21,46.98
